LAST SEEN   TYPE     REASON                       OBJECT                                                  MESSAGE
17m         Normal   ReconciliationSucceeded      kustomization/argo-workflows-rbac                       Reconciliation finished in 1.310887139s, next run in 30m0s
17m         Normal   ChartPackageSucceeded        helmchart/aiot-ml-aiot-ml-platform                      packaged 'aiot-ml-platform' chart with version '1.0.0+f0cc3d6708ce'
17m         Normal   ReconciliationSucceeded      kustomization/kubeflow-authz-crd                        Reconciliation finished in 5.792939733s, next run in 30m0s
17m         Normal   Progressing                  kustomization/kubeflow-authz-crd                        Health check passed in 303.115634ms
17m         Normal   ReconciliationSucceeded      kustomization/qdrant-indexer                            Reconciliation finished in 5.584100898s, next run in 30m0s
17m         Normal   ReconciliationSucceeded      kustomization/flux-system                               Reconciliation finished in 6.805262123s, next run in 10m0s
17m         Normal   ChartPackageSucceeded        helmchart/aiot-cloudbeaver                              packaged 'cloudbeaver-overlay' chart with version '1.0.0+f0cc3d6708ce'
17m         Normal   ReconciliationSucceeded      kustomization/flux-system                               Reconciliation finished in 4.816547199s, next run in 10m0s
17m         Normal   ChartPackageSucceeded        helmchart/victoriametrics-victoriametrics               packaged 'victoriametrics-overlay' chart with version '1.0.0+f0cc3d6708ce'
17m         Normal   ChartPackageSucceeded        helmchart/observability-logs-alloy                      packaged 'alloy-overlay' chart with version '1.0.0+f0cc3d6708ce'
17m         Normal   ChartPackageSucceeded        helmchart/blackbox-exporter-blackbox-exporter           packaged 'blackbox-exporter-overlay' chart with version '1.0.0+f0cc3d6708ce'
16m         Normal   ChartPackageSucceeded        helmchart/zabbix-zabbix                                 packaged 'zabbix-overlay' chart with version '1.0.1+f0cc3d6708ce'
16m         Normal   ChartPackageSucceeded        helmchart/observability-logs-loki                       packaged 'loki-overlay' chart with version '1.0.0+f0cc3d6708ce'
16m         Normal   ReconciliationSucceeded      kustomization/kubeflow-profiles                         Reconciliation finished in 1.764606258s, next run in 30m0s
16m         Normal   Progressing                  kustomization/kubeflow-profiles                         Health check passed in 122.441073ms
16m         Normal   ChartPackageSucceeded        helmchart/chaos-theater-aiot-chaos-theater              packaged 'aiot-chaos-theater' chart with version '0.1.0+f0cc3d6708ce'
16m         Normal   ChartPackageSucceeded        helmchart/jenkins-jenkins                               packaged 'jenkins-overlay' chart with version '1.0.0+f0cc3d6708ce'
16m         Normal   GarbageCollectionSucceeded   helmchart/aiot-ml-aiot-ml-platform                      garbage collected 1 artifacts
16m         Normal   ChartPackageSucceeded        helmchart/terrakube-terrakube                           packaged 'terrakube-overlay' chart with version '1.0.0+f0cc3d6708ce'
16m         Normal   ArtifactUpToDate             helmchart/aiot-ml-aiot-ml-platform                      artifact up-to-date with remote revision: '1.0.0+f0cc3d6708ce'
16m         Normal   Progressing                  kustomization/kubeflow-tensorboard-controller           Namespace/kubeflow configured
16m         Normal   ReconciliationSucceeded      kustomization/kubeflow-tensorboard-controller           Reconciliation finished in 1.064624987s, next run in 30m0s
16m         Normal   ReconciliationSucceeded      kustomization/kubeflow-ingress                          Reconciliation finished in 1.654686897s, next run in 30m0s
16m         Normal   Progressing                  kustomization/kubeflow-ingress                          Health check passed in 99.699487ms
16m         Normal   Progressing                  kustomization/kubeflow-ingress                          Ingress/kubeflow/kubeflow-centraldashboard configured...
16m         Normal   GarbageCollectionSucceeded   helmchart/victoriametrics-victoriametrics               garbage collected 1 artifacts
16m         Normal   ArtifactUpToDate             helmchart/victoriametrics-victoriametrics               artifact up-to-date with remote revision: '1.0.0+f0cc3d6708ce'
16m         Normal   ReconciliationSucceeded      kustomization/argo-workflows-controller                 Reconciliation finished in 5.463039146s, next run in 30m0s
16m         Normal   Progressing                  kustomization/kubeflow-pipelines-crds                   Namespace/kubeflow configured
15m         Normal   ReconciliationSucceeded      kustomization/kubeflow-pipelines-crds                   Reconciliation finished in 8.963320867s, next run in 30m0s
15m         Normal   ReconciliationSucceeded      kustomization/kubeflow-pipelines                        Reconciliation finished in 3.636105761s, next run in 30m0s
15m         Normal   ReconciliationSucceeded      kustomization/qdrant-indexer                            Reconciliation finished in 977.569223ms, next run in 30m0s
15m         Normal   ReconciliationSucceeded      kustomization/kubeflow-volumes-web-app                  Reconciliation finished in 582.795271ms, next run in 30m0s
15m         Normal   ReconciliationSucceeded      kustomization/flux-system                               Reconciliation finished in 3.482542159s, next run in 10m0s
15m         Normal   GitOperationSucceeded        gitrepository/kubeflow-manifests                        no changes since last reconcilation: observed revision 'v1.11.0@sha1:854bd3a21044f767204def71b2dcda83e376891f'
15m         Normal   Progressing                  kustomization/kubeflow-authz-crd                        CustomResourceDefinition/authorizationpolicies.security.istio.io configured
15m         Normal   Progressing                  kustomization/kubeflow-admission-webhook                ClusterRole/admission-webhook-kubeflow-poddefaults-admin configured...
15m         Normal   ReconciliationSucceeded      kustomization/kubeflow-authz-crd                        Reconciliation finished in 2.071665297s, next run in 30m0s
15m         Normal   ReconciliationSucceeded      kustomization/kubeflow-admission-webhook                Reconciliation finished in 1.814024711s, next run in 30m0s
15m         Normal   GitOperationSucceeded        gitrepository/argo-workflows                            no changes since last reconcilation: observed revision 'v3.7.3@sha1:bded09fe4abd37cb98d7fc81b4c14a6f5034e9ab'
15m         Normal   Progressing                  kustomization/kubeflow-roles                            ClusterRole/kubeflow-admin configured...
15m         Normal   ReconciliationSucceeded      kustomization/kubeflow-roles                            Reconciliation finished in 652.209959ms, next run in 30m0s
15m         Normal   ArtifactUpToDate             helmchart/litmus-chaos                                  artifact up-to-date with remote revision: '3.28.0'
